"poi_type","poi_category_1"
"laundry","Professional and Business Services"
"laundry,dry_cleaning","Professional and Business Services"
"lavoir","Other"
"lawyer","Professional and Business Services"
"lead_inspector","Professional and Business Services"
"leaning_bench","Other"
"leather","Other"
"leatherworking","Professional and Business Services"
"left_luggage","Other"
"legion","Other"
"leisure","Entertainment and Recreation"
"lessons","Education and Learning"
"letter_box","Other"
"letter_box (x4)","Other"
"level_crossing_signal_box","Other"
"library","Government and Public Services"
"library_dropoff","Government and Public Services"
"life_jacket_rental","Professional and Business Services"
"lifejacket_rental","Professional and Business Services"
"lift","Other"
"light","Shopping and Retail"
"lighting","Shopping and Retail"
"lightpole","Shopping and Retail"
"limousine","Professional and Business Services"
"line alng sf","Other"
"linen","Shopping and Retail"
"lingerie","Shopping and Retail"
"liquidation","Other"
"liquor_store","Shopping and Retail"
"livestock","Other"
"loading_dock","Transportation and Transit"
"loan","Financial Services"
"loans","Financial Services"
"locker","Other"
"locksmith","Professional and Business Services"
"lodging","Other"
"lost_property_office","Government and Public Services"
"lottery","Entertainment and Recreation"
"lotto","Entertainment and Recreation"
"lounge","Accommodation"
"lounger","Other"
"love_hotel","Accommodation"
"lubricants","Automative Services"
"luggage","Other"
"luggage_dropoff","Professional and Business Services"
"luggage_locker","Professional and Business Services"
"luggage_pickup","Professional and Business Services"
"luggage_repair","Professional and Business Services"
"luggage_storage","Professional and Business Services"
"luggage_weigh_scale","Professional and Business Services"
"lumber","Industrial and Manufacturing"
"magazine_box","Other"
"magic","Other"
"magic_mushroom","Other"
"magic_mushrooms","Other"
"magician","Entertainment and Recreation"
"mail_box","Post"
"mailbox","Post"
"mailing_center","Post"
"mailing_company","Post"
"mailroom","Post"
"makerspace","Professional and Business Services"
"mall","Shopping and Retail"
"manhole","Other"
"manicure","Personal Care and Beauty"
"manicurist","Personal Care and Beauty"
"manufactured_homes","Industrial and Manufacturing"
"manufacturer","Industrial and Manufacturing"
"maps","Other"
"marina","Tourism and Attractions"
"marine","Tourism and Attractions"
"marine_supply","Shopping and Retail"
"marital_aids","Other"
"maritime_school","Education and Learning"
"market","Shopping and Retail"
"marketplace","Shopping and Retail"
"martial_arts","Entertainment and Recreation"
"mascot_rental","Professional and Business Services"
"massage","Personal Care and Beauty"
"maternity","Healthcare and Medical"
"matress","Shopping and Retail"
"maze","Other"
"meats","Shopping and Retail"
"mechanic","Automative Services"
"mechanical","Automative Services"
"medical","Healthcare and Medical"
"medical_devices","Healthcare and Medical"
"medical_imaging","Healthcare and Medical"
"medical_supply","Healthcare and Medical"
"medical_tests","Healthcare and Medical"
"medispa","Personal Care and Beauty"
"meditation_centre","Personal Care and Beauty"
"men's","Shopping and Retail"
"mercantile","Shopping and Retail"
"message_board","Other"
"metal","Other"
"metaphysical","Religious and Spiritual"
"metaphysical_supplies","Shopping and Retail"
"metaphysical_supply","Shopping and Retail"
"metaphysical_supply_store","Shopping and Retail"
"microwave","Shopping and Retail"
"mile_post","Post"
"military_surplus","Government and Public Services"
"minerals","Other"
"miniature_golf","Entertainment and Recreation"
"mist_spraying_cooler","Other"
"mobile_home","Accommodation"
"mobile_homes","Accommodation"
"mobile_library","Education and Learning"
"mobile_phon","Other"
"mobile_phone","Shopping and Retail"
"mobile_phone_accessories","Shopping and Retail"
"mobile_phone_repair","Professional and Business Services"
"mobility","Other"
"mobility_equpment","Shopping and Retail"
"mobility_scooter","Shopping and Retail"
"model","Professional and Business Services"
"modeling_agency","Professional and Business Services"
"monastery","Religious and Spiritual"
"money_lender","Financial Services"
"money_lenders","Financial Services"
"money_transfer","Financial Services"
"monument","Tourism and Attractions"
"mortgage","Financial Services"
"mortgage_broker","Financial Services"
"mortuary","Other"
"motel","Accommodation"
"motorcycle","Automative Services"
"motorcycle_parking","Parking"
"motorcycle_parts","Automative Services"
"motorcycle_rental","Automative Services"
"motorcycle_repair","Automative Services"
"motorsports","Entertainment and Recreation"
"motorsports_shop","Shopping and Retail"
"moving","Other"
"moving_storage","Professional and Business Services"
"mower_repair","Professional and Business Services"
"mp","Other"
"murmur_listening_post","Other"
"museum","Tourism and Attractions"
"museum-former","Other"
"mushroom","Other"
"music","Other"
"music_lessons","Education and Learning"
"music_school","Education and Learning"
"music_services","Professional and Business Services"
"music_venue","Events and Venues"
"musical_instrument","Shopping and Retail"
"nail","Personal Care and Beauty"
"nail_salon","Personal Care and Beauty"
"nails","Personal Care and Beauty"
"nature_centre","Tourism and Attractions"
"nature_reserve","Tourism and Attractions"
"nautical","Other"
"new_age","Other"
"news_rack","Other"
"newsagent","Professional and Business Services"
"newsbox","Other"
"newspaper","Other"
"nightclub","Entertainment and Recreation"
"no","Other"
"notary_public","Government and Public Services"
"novelty","Other"
"numismatics","Professional and Business Services"
"nursing_home","Healthcare and Medical"
"nursing_room","Healthcare and Medical"
"nursing_school","Education and Learning"
"nutrition_supplements","Shopping and Retail"
"nuts","Shopping and Retail"
"occult_goods","Shopping and Retail"
"office","Professional and Business Services"
"office_equipment","Shopping and Retail"
"office_sharing","Shopping and Retail"
"office_supplies","Shopping and Retail"
"officiant","Professional and Business Services"
"oil_change","Automative Services"
"old_parking","Parking"
"old_restaurant","Restaurants, Fast Food and Cafes"
"olive_oil","Shopping and Retail"
"one_zone_wifi","Other"
"ontario line station","Transportation and Transit"
"optician","Healthcare and Medical"
"optitian","Healthcare and Medical"
"optometrist","Healthcare and Medical"
"optometry","Healthcare and Medical"
"organic","Other"
"orthodonists","Healthcare and Medical"
"orthodontics","Healthcare and Medical"
"orthodontist","Healthcare and Medical"
"orthopedic","Healthcare and Medical"
"orthopedics","Healthcare and Medical"
"orthotic","Healthcare and Medical"
"orthotics","Healthcare and Medical"
"other","Other"
"outdoor","Other"
"outdoor_appliance","Shopping and Retail"
"outdoor_furniture","Shopping and Retail"
"outdoor_power_equipment","Shopping and Retail"
"outdoor_seating","Shopping and Retail"
"outpost","Other"
"pachinko","Other"
"package_room","Professional and Business Services"
"packaging","Professional and Business Services"
"paddling_pool","Entertainment and Recreation"
"paint","Shopping and Retail"
"paint_and_sip","Entertainment and Recreation"
"painting","Professional and Business Services"
"palmist","Professional and Business Services"
"palyground","Entertainment and Recreation"
"paper","Other"
"parcel_locker","Professional and Business Services"
"park","Entertainment and Recreation"
"parking","Parking"
"parking_booth","Parking"
"parking_entrance","Parking"
"parking_exit","Parking"
"parking_space","Parking"
"parts","Other"
"party","Entertainment and Recreation"
"party_rental","Professional and Business Services"
"party_supply","Shopping and Retail"
"passenger_pickup_drop_off","Transportation and Transit"
"pasta","Shopping and Retail"
"pastry","Shopping and Retail"
"patio","Other"
"pawn_shop","Shopping and Retail"
"pawnbroker","Shopping and Retail"
"payment_centre","Financial Services"
"payment_terminal","Financial Services"
"payphone","Financial Services"
"peace_pole","Other"
"pedicure_supply","Shopping and Retail"
"pens","Shopping and Retail"
"perfumery","Shopping and Retail"
"personal trainer","Entertainment and Recreation"
"pest_control","Professional and Business Services"
"pet","Other"
"pet_care","Professional and Business Services"
"pet_food","Shopping and Retail"
"pet_grooming","Professional and Business Services"
"pet_services","Professional and Business Services"
"pet_supplies","Shopping and Retail"
"pet_supply","Shopping and Retail"
"pet_wash","Professional and Business Services"
"pharmacy","Healthcare and Medical"
"phone","Shopping and Retail"
"phone_cards","Professional and Business Services"
"phone_repair","Professional and Business Services"
"photo","Professional and Business Services"
"photo_booth","Professional and Business Services"
"photo_studio","Professional and Business Services"
"photography","Professional and Business Services"
"photography_club","Professional and Business Services"
"physical_therapist","Healthcare and Medical"
"pi","Shopping and Retail"
"piano","Shopping and Retail"
"picnic area","Entertainment and Recreation"
"picnic_area","Entertainment and Recreation"
"picnic_site","Entertainment and Recreation"
"picnic_table","Entertainment and Recreation"
"picture","Other"
"picture_frame","Professional and Business Services"
"picture_framing","Professional and Business Services"
"piercing","Personal Care and Beauty"
"pitch","Other"
"place_of_worship","Religious and Spiritual"
"plane_parts","Other"
"planetarium","Tourism and Attractions"
"plant","Shopping and Retail"
"plant_hire","Professional and Business Services"
"plant_shop","Shopping and Retail"
"plant_store","Shopping and Retail"
"plants","Shopping and Retail"
"plaque","Other"
"platform","Transportation and Transit"
"playground","Entertainment and Recreation"
"plumbers","Professional and Business Services"
"plumbing","Professional and Business Services"
"plumbing_heating","Professional and Business Services"
"plumbing_supply_store","Shopping and Retail"
"po_box","Post"
"pole","Other"
"police","Government and Public Services"
"police_supply","Government and Public Services"
"polling_station","Government and Public Services"
"pond_supply","Shopping and Retail"
"pool","Entertainment and Recreation"
"pool_hall","Entertainment and Recreation"
"pool_supplies","Shopping and Retail"
"pools","Entertainment and Recreation"
"pools/landscaping","Professional and Business Services"
"popcorn","Shopping and Retail"
"popup","Other"
"portrait","Professional and Business Services"
"portraits","Professional and Business Services"
"post_box","Post"
"post_depot","Post"
"post_office","Post"
"post_storage_box","Post"
"postal","Post"
"postal_relay_box","Post"
"poster_board","Other"
"pottery","Professional and Business Services"
"pottery_painting","Professional and Business Services"
"power_tools","Shopping and Retail"
"practice_bicycle_carrier","Professional and Business Services"
"prep_school","Education and Learning"
"prepared_food","Restaurants, Fast Food and Cafes"
"preserves","Other"
"print","Other"
"print_shop","Shopping and Retail"
"printer","Shopping and Retail"
"printer_ink","Shopping and Retail"
"printing","Professional and Business Services"
"printing_company","Professional and Business Services"
"printshop","Shopping and Retail"
"prison","Government and Public Services"
"private_club","Entertainment and Recreation"
"private_door","Residential"
"probation_service","Government and Public Services"
"produce","Other"
"product_pickup","Professional and Business Services"
"professional services","Professional and Business Services"
"propane","Other"
"propeller_fix","Professional and Business Services"
"proposed","Other"
"proposed_condo","Other"
"psychic","Professional and Business Services"
"psychologist","Healthcare and Medical"
"pub","Restaurants, Fast Food and Cafes"
"public","Government and Public Services"
"public_bath","Government and Public Services"
"public_bookcase","Government and Public Services"
"public_building","Events and Venues"
"public_hall","Events and Venues"
"public_transport","Transportation and Transit"
"public_transport_tickets","Transportation and Transit"
"publisher of Science, the scientific journal","Professional and Business Services"
"pump","Other"
"pumps","Other"
"puzzle","Other"
"puzzle_library","Government and Public Services"
"pyrotechnics","Shopping and Retail"
"quilt","Shopping and Retail"
"quilting","Shopping and Retail"
"radiotechnics","Professional and Business Services"
"rage_room","Entertainment and Recreation"
"ramp","Transportation and Transit"
"ranger_station","Professional and Business Services"
"rapid_remit","Financial Services"
"razors","Other"
"real estate","Professional and Business Services"
"realtor","Other"
"receiving_dock","Transportation and Transit"
"reception_center","Professional and Business Services"
"reception_desk","Professional and Business Services"
"recording_studio","Professional and Business Services"
"records","Other"
"recreation_center","Entertainment and Recreation"
"recreation_ground","Entertainment and Recreation"
"recreational_vehicle","Entertainment and Recreation"
"rectory","Residential"
"recycling","Waste and Recycling"
"refillery","Shopping and Retail"
"reflexology","Healthcare and Medical"
"refuge","Government and Public Services"
"register_office","Government and Public Services"
"registrars_office","Government and Public Services"
"registry_office","Government and Public Services"
"rehearsal_studio","Professional and Business Services"
"relay_box","Post"
"relay_post_box","Post"
"religion","Religious and Spiritual"
"remodel","Professional and Business Services"
"remodeling","Professional and Business Services"
"rental","Professional and Business Services"
"rental_equipment","Professional and Business Services"
"rental_office","Professional and Business Services"
"rentals","Professional and Business Services"
"repair","Professional and Business Services"
"res","Other"
"rescue_station","Government and Public Services"
"research_institute","Education and Learning"
"resort","Accommodation"
"restaurant","Restaurants, Fast Food and Cafes"
"restaurant_supplies","Shopping and Retail"
"restaurants","Restaurants, Fast Food and Cafes"
"retail","Shopping and Retail"
"retail_store","Shopping and Retail"
"retirement_home","Accommodation"
"rice","Other"
"robot","Other"
"rock","Other"
"rocks","Other"
"roofing","Professional and Business Services"
"rug","Shopping and Retail"
"rug_cleaning","Professional and Business Services"
"rugs","Shopping and Retail"
"running","Entertainment and Recreation"
"rv","Other"
"rv_pitch","Automative Services"
"rv_rental","Automative Services"
"rv_supply","Automative Services"
"safe","Emergency and Safety"
"safety","Emergency and Safety"
"safety_equipment","Emergency and Safety"
"sailing_club","Entertainment and Recreation"
"sailing_school","Education and Learning"
"salon","Personal Care and Beauty"
"sand","Other"
"sanitary","Shopping and Retail"
"sanitary_dump_station","Waste and Recycling"
"sauce","Shopping and Retail"
"sauna","Personal Care and Beauty"
"school","Education and Learning"
"school_supplies","Shopping and Retail"
"scooter","Other"
"scooter_parking","Parking"
"scooter_rental","Professional and Business Services"
"scooter_share","Professional and Business Services"
"scoreboard","Other"
"scrapbook","Shopping and Retail"
"scrapbooking","Shopping and Retail"
"screen_printing","Professional and Business Services"
"screenprinting","Professional and Business Services"
"scuba_diving","Entertainment and Recreation"
"seafood","Restaurants, Fast Food and Cafes"
"seamstress","Professional and Business Services"
"seaplane terminal","Transportation and Transit"
"seasonal","Other"
"second_hand","Shopping and Retail"
"second_hand,floral","Shopping and Retail"
"security","Emergency and Safety"
"security, access, video systems","Emergency and Safety"
"security_booth","Emergency and Safety"
"security_supplies","Shopping and Retail"
"seed","Other"
"self_brew_location","Entertainment and Recreation"
"seminary","Education and Learning"
"seniors_society","Entertainment and Recreation"
"service,_rent,_repair,_everything,_computer_box","Professional and Business Services"
"service_company,_generators","Professional and Business Services"
"services","Professional and Business Services"
"sewer","Other"
"sewing","Professional and Business Services"
"sewing_and_Alteration","Professional and Business Services"
"sewing_machines","Shopping and Retail"
"shampooer","Shopping and Retail"
"shed","Other"
"sheds","Other"
"shelter","Accommodation"
"ship_chandler","Automative Services"
"ship_rental","Automative Services"
"shipping","Post"
"shipping_and_receiving","Post"
"shipping_center_mailbox_rental","Post"
"shipping_service","Post"
"shoe","Shopping and Retail"
"shoe_cleaning","Professional and Business Services"
"shoe_repair","Professional and Business Services"
"shoe_shine","Professional and Business Services"
"shoes","Shopping and Retail"
"shoes,sports","Shopping and Retail"
"shoeshine","Professional and Business Services"
"shooting_ground","Entertainment and Recreation"
"shop","Shopping and Retail"
"shopping_centre","Shopping and Retail"
"shower","Other"
"shuttle","Transportation and Transit"
"sign","Other"
"sign_shop","Shopping and Retail"
"signal","Other"
"signs","Other"
"silverware","Shopping and Retail"
"skate","Shopping and Retail"
"skate_rental","Professional and Business Services"
"skateboard","Shopping and Retail"
"skateboard_parking","Parking"
"skateboard_shop","Shopping and Retail"
"skateboards","Shopping and Retail"
"ski","Shopping and Retail"
"ski_rental","Professional and Business Services"
"ski_school","Education and Learning"
"ski_shop","Shopping and Retail"
"skin_care","Shopping and Retail"
"skincare","Shopping and Retail"
"slipway","Other"
"small_boat_launch_device","Automative Services"
"small_engine","Automative Services"
"smartshop","Shopping and Retail"
"smog_check","Other"
"smoke","Other"
"smoke_shop","Shopping and Retail"
"smoke_supplies","Shopping and Retail"
"smoking_area","Other"
"smoking_station","Other"
"snack","Shopping and Retail"
"snack_cart","Shopping and Retail"
"snacks","Shopping and Retail"
"snow_cleaning","Professional and Business Services"
"so","Other"
"soap","Shopping and Retail"
"soccer_club","Entertainment and Recreation"
"social_centre","Entertainment and Recreation"
"social_club","Entertainment and Recreation"
"social_facility","Entertainment and Recreation"
"social_services","Entertainment and Recreation"
"socket","Other"
"soda","Shopping and Retail"
"solar","Other"
"sorority","Entertainment and Recreation"
"souvenir","Shopping and Retail"
"spa","Personal Care and Beauty"
"spa_resort","Personal Care and Beauty"
"spare_parts","Other"
"specialty food","Restaurants, Fast Food and Cafes"
"specialty_food","Restaurants, Fast Food and Cafes"
"specialty_foods","Restaurants, Fast Food and Cafes"
"specialty_grocer","Shopping and Retail"
"spices","Shopping and Retail"
"spices_and_teas","Shopping and Retail"
"spiritual","Religious and Spiritual"
"spiritual_healing","Religious and Spiritual"
"splash_pad","Other"
"sport","Entertainment and Recreation"
"sports","Entertainment and Recreation"
"sports_cards","Shopping and Retail"
"sports_centre","Entertainment and Recreation"
"sports_collectibles","Shopping and Retail"
"sports_hall","Entertainment and Recreation"
"spotting_scope","Other"
"sprinkler","Other"
"stadium","Events and Venues"
"staffing_agency","Professional and Business Services"
"stage","Events and Venues"
"stained_glass","Other"
"stair","Other"
"station","Other"
"stationary","Other"
"stationery","Shopping and Retail"
"steel_distributor","Industrial and Manufacturing"
"stock_ticker","Other"
"stone","Other"
"stop","Transportation and Transit"
"stop_area","Transportation and Transit"
"stop_position","Transportation and Transit"
"storage","Professional and Business Services"
"storage_rental","Professional and Business Services"
"store","Shopping and Retail"
"stoves","Other"
"street_lamp","Other"
"street_vendor","Professional and Business Services"
"strip_club","Entertainment and Recreation"
"stripclub","Entertainment and Recreation"
"stroller_parking","Parking"
"stroller_rental","Professional and Business Services"
"student lounge","Education and Learning"
"student_services","Education and Learning"
"student_union","Education and Learning"
"studio","Accommodation"
"study_room","Education and Learning"
"substation","Transportation and Transit"
"summer_camp","Entertainment and Recreation"
"sunglasses","Shopping and Retail"
"sunscreen","Shopping and Retail"
"supermarket","Shopping and Retail"
"supplements","Shopping and Retail"
"surf","Entertainment and Recreation"
"surfboards","Shopping and Retail"
"surplus","Other"
"surveillance","Emergency and Safety"
"surveying","Professional and Business Services"
"sushi","Restaurants, Fast Food and Cafes"
"sweet","Other"
"swimming_area","Entertainment and Recreation"
"swimming_pool","Entertainment and Recreation"
"swimming_school","Education and Learning"
"swingerclub","Entertainment and Recreation"
"swinging bench","Entertainment and Recreation"
"table","Other"
"tack_shop","Shopping and Retail"
"tailor","Professional and Business Services"
"takeout","Restaurants, Fast Food and Cafes"
"tanning","Personal Care and Beauty"
"tanning_salon","Personal Care and Beauty"
"taproom","Restaurants, Fast Food and Cafes"
"tarot","Religious and Spiritual"
"tatoo","Personal Care and Beauty"
"tattoo","Personal Care and Beauty"
"tattoo_removal","Personal Care and Beauty"
"tattoo_supplies","Shopping and Retail"
"tattoos","Personal Care and Beauty"
"tax","Financial Services"
"taxi","Automative Services"
"taxi_garage","Automative Services"
"taxidermist","Automative Services"
"tea","Restaurants, Fast Food and Cafes"
"tea_room","Restaurants, Fast Food and Cafes"
"teacher_supplies","Shopping and Retail"
"teeth_whitening","Personal Care and Beauty"
"telecommunication","Professional and Business Services"
"telephone","Shopping and Retail"
"telephone_control_box","Other"
"telescopes","Shopping and Retail"
"television","Shopping and Retail"
"tennis","Entertainment and Recreation"
"testcenter","Professional and Business Services"
"testing_center","Professional and Business Services"
"textile_printing","Professional and Business Services"
"theatre","Entertainment and Recreation"
"theatre (historic)","Entertainment and Recreation"
"theatre_school","Education and Learning"
"theatrical_supply","Shopping and Retail"
"theme_park","Entertainment and Recreation"
"thermometer","Shopping and Retail"
"thrift","Shopping and Retail"
"ticket","Other"
"ticket_validator","Other"
"tile","Shopping and Retail"
"tiles","Shopping and Retail"
"tire_inflator","Automative Services"
"tire_pump","Automative Services"
"tobacco","Shopping and Retail"
"tobogganing","Entertainment and Recreation"
"toilets","Government and Public Services"
"tombstones","Other"
"toner","Other"
"tool_hire","Professional and Business Services"
"tool_library","Education and Learning"
"tool_repair","Professional and Business Services"
"tools","Shopping and Retail"
"tortilla","Restaurants, Fast Food and Cafes"
"tour","Tourism and Attractions"
"tour_guide","Tourism and Attractions"
"tourism","Tourism and Attractions"
"tourist","Tourism and Attractions"
"tours","Tourism and Attractions"
"tow_truck","Automative Services"
"towing","Professional and Business Services"
"townhall","Government and Public Services"
"toy_library","Education and Learning"
"toys","Shopping and Retail"
"track","Entertainment and Recreation"
"tractor","Automative Services"
"trade","Financial Services"
"trade_school","Education and Learning"
"traditional_chinese_medicine","Healthcare and Medical"
"traffic_park","Entertainment and Recreation"
"traffic_tickets","Other"
"trailer","Automative Services"
"trailer_park","Entertainment and Recreation"
"training","Education and Learning"
"trampoline_equipment","Shopping and Retail"
"trampoline_park","Entertainment and Recreation"
"travel","Tourism and Attractions"
"travel_agency","Professional and Business Services"
"tree","Other"
"trolley_bay","Shopping and Retail"
"trophy","Other"
"truck","Automative Services"
"truck driving_school","Education and Learning"
"truck_accessories","Automative Services"
"truck_rental","Automative Services"
"truck_repair","Automative Services"
"turn_stile","Other"
"tutor","Education and Learning"
"tutoring","Education and Learning"
"tutoring_centre","Education and Learning"
"tutors","Education and Learning"
"tv_repair","Professional and Business Services"
"typewriter","Professional and Business Services"
"tyres","Automative Services"
"uniform","Shopping and Retail"
"uniforms","Shopping and Retail"
"university","Education and Learning"
"unknown","Other"
"upholstery","Shopping and Retail"
"ups","Other"
"urgent_care","Healthcare and Medical"
"vacant","Other"
"vacuum_cleaner","Shopping and Retail"
"valet_parking","Parking"
"van_rental","Automative Services"
"vape","Shopping and Retail"
"vaping","Shopping and Retail"
"variable_message_sign","Other"
"variety_store","Shopping and Retail"
"vault","Other"
"vehicle_inspection","Automative Services"
"vending_machine","Shopping and Retail"
"veterinary","Healthcare and Medical"
"veterinary_pharmacy","Healthcare and Medical"
"video","Shopping and Retail"
"video_game_console","Shopping and Retail"
"video_games","Shopping and Retail"
"view_scope","Other"
"viewpoint","Tourism and Attractions"
"vinegar","Shopping and Retail"
"vintage","Shopping and Retail"
"vintage_clothing","Shopping and Retail"
"virtual_golf","Entertainment and Recreation"
"wallcoverings","Shopping and Retail"
"wallpaper","Shopping and Retail"
"warehouse","Shopping and Retail"
"warning_sign","Other"
"was:restaurant","Other"
"washing_machine","Shopping and Retail"
"waste_basket","Waste and Recycling"
"waste_container","Waste and Recycling"
"waste_disposal","Waste and Recycling"
"waste_transfer_station","Waste and Recycling"
"watch","Shopping and Retail"
"watch_repair","Professional and Business Services"
"watch_repair,_clock_repair,_watches,_clocks,_gold,_silver,_buying,_tiffany_lock_repair","Professional and Business Services"
"watches","Shopping and Retail"
"watchmaker","Professional and Business Services"
"water","Other"
"water_dispenser","Other"
"water_filter","Other"
"water_park","Entertainment and Recreation"
"water_point","Other"
"water_sports","Entertainment and Recreation"
"water_system","Other"
"water_tap","Other"
"watering_place","Other"
"waxing","Personal Care and Beauty"
"wealth_management","Financial Services"
"weapons","Other"
"weaving","Other"
"web_design","Professional and Business Services"
"wedding","Events and Venues"
"wedding_chapel","Events and Venues"
"wedding_registry","Events and Venues"
"weigh_station","Transportation and Transit"
"weighbridge","Transportation and Transit"
"weight_loss","Personal Care and Beauty"
"weightloss","Personal Care and Beauty"
"welding","Industrial and Manufacturing"
"welding_supply","Industrial and Manufacturing"
"wellness","Other"
"wellness_center","Healthcare and Medical"
"wellness_centre","Healthcare and Medical"
"whale_watching","Entertainment and Recreation"
"wheelchair","Shopping and Retail"
"whirlpool","Other"
"whiteboard","Other"
"wholesale","Shopping and Retail"
"wigs","Shopping and Retail"
"wilderness_hut","Other"
"window","Shopping and Retail"
"window_blind","Shopping and Retail"
"window_construction","Industrial and Manufacturing"
"window_coverings","Shopping and Retail"
"window_tinting","Professional and Business Services"
"window_treatment","Professional and Business Services"
"window_treatments","Professional and Business Services"
"windows","Shopping and Retail"
"wine","Shopping and Retail"
"wine_making","Professional and Business Services"
"winebar","Restaurants, Fast Food and Cafes"
"winery","Restaurants, Fast Food and Cafes"
"wireless","Other"
"wooden_boat","Other"
"woodworking","Professional and Business Services"
"wool","Shopping and Retail"
"working_space","Professional and Business Services"
"workshop","Professional and Business Services"
"workwear","Shopping and Retail"
"yacht_club","Entertainment and Recreation"
"yarn","Other"
"yea","Other"
"yes","Other"
"yoga","Entertainment and Recreation"
"yogurt","Shopping and Retail"
"your_speed","Other"
"zoo","Entertainment and Recreation"
"?picerie_fine","Other"
